this_week	last_week	end_2014	country	flag_url	name	player_url	avg_points	total_points	event_played_divisor	points_lost	points_gained	events_played_actual
1	1	1	NIR	http://www.owgr.com/styles/img/flags/NIR.png	Rory McIlroy	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10091	12.7748	625.97	49	-196.48	281.34	49
2	2	9	USA	http://www.owgr.com/styles/img/flags/USA.png	Jordan Spieth	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14636	11.0561	574.92	52	-120.85	398.60	58
3	7	19	USA	http://www.owgr.com/styles/img/flags/USA.png	Dustin Johnson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12422	6.9703	285.78	41	-84.03	210.86	41
4	5	6	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Justin Rose	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6093	6.6519	332.60	50	-144.04	148.88	50
5	4	4	USA	http://www.owgr.com/styles/img/flags/USA.png	Bubba Watson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7334	6.6375	292.05	44	-132.10	74.99	44
6	3	7	USA	http://www.owgr.com/styles/img/flags/USA.png	Jim Furyk	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=2881	6.6053	284.03	43	-120.86	113.48	43
7	6	2	SWE	http://www.owgr.com/styles/img/flags/SWE.png	Henrik Stenson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5994	6.4434	335.06	52	-190.95	102.51	52
8	10	8	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Jason Day	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9771	5.8956	235.83	40	-115.92	119.30	39
9	8	5	ESP	http://www.owgr.com/styles/img/flags/ESP.png	Sergio Garcia	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5689	5.8372	280.19	48	-134.46	79.83	48
10	9	10	USA	http://www.owgr.com/styles/img/flags/USA.png	Rickie Fowler	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12965	5.7031	296.56	52	-102.91	115.07	52
11	12	3	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Adam Scott	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6430	5.3812	231.39	43	-149.97	57.53	43
12	11	21	USA	http://www.owgr.com/styles/img/flags/USA.png	Jimmy Walker	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7293	5.1720	268.94	52	-92.51	167.36	53
13	13	66	USA	http://www.owgr.com/styles/img/flags/USA.png	J.B. Holmes	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7959	4.7838	196.14	41	-31.71	146.86	41
14	14	16	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Hideki Matsuyama	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13562	4.5179	234.93	52	-92.17	118.01	56
15	15	23	USA	http://www.owgr.com/styles/img/flags/USA.png	Patrick Reed	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14838	4.2867	222.91	52	-82.78	123.05	56
16	27	45	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Louis Oosthuizen	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7672	4.0959	180.22	44	-43.39	104.81	44
17	18	11	USA	http://www.owgr.com/styles/img/flags/USA.png	Matt Kuchar	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6169	4.0794	212.13	52	-133.64	80.34	54
18	16	20	USA	http://www.owgr.com/styles/img/flags/USA.png	Chris Kirk	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12423	4.0178	208.92	52	-73.97	85.76	57
19	20	13	USA	http://www.owgr.com/styles/img/flags/USA.png	Billy Horschel	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11276	3.9624	206.04	52	-90.89	63.44	59
20	17	14	USA	http://www.owgr.com/styles/img/flags/USA.png	Phil Mickelson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=1547	3.8661	173.97	45	-115.33	89.21	45
21	19	12	GER	http://www.owgr.com/styles/img/flags/GER.png	Martin Kaymer	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8117	3.8582	200.63	52	-96.95	44.02	55
22	21	34	USA	http://www.owgr.com/styles/img/flags/USA.png	Brooks Koepka	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=16243	3.5948	186.93	52	-58.84	91.28	54
23	22	25	USA	http://www.owgr.com/styles/img/flags/USA.png	Kevin Na	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7452	3.4344	164.85	48	-46.98	76.13	48
24	23	39	USA	http://www.owgr.com/styles/img/flags/USA.png	Bill Haas	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7900	3.3552	174.47	52	-76.67	104.82	54
25	30	58	USA	http://www.owgr.com/styles/img/flags/USA.png	Brandt Snedeker	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8820	3.2768	170.39	52	-65.24	116.75	54
26	24	27	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Ian Poulter	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=1435	3.2058	150.67	47	-69.16	67.93	47
27	40	82	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Branden Grace	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11952	3.1950	166.14	52	-42.06	117.17	56
28	25	18	USA	http://www.owgr.com/styles/img/flags/USA.png	Zach Johnson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6986	3.1521	163.91	52	-105.48	70.37	52
29	26	42	USA	http://www.owgr.com/styles/img/flags/USA.png	Ryan Palmer	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7820	3.1112	146.23	47	-55.61	67.68	47
30	28	26	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Lee Westwood	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4052	3.0526	158.73	52	-71.11	58.93	52
31	29	48	USA	http://www.owgr.com/styles/img/flags/USA.png	Gary Woodland	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12577	3.0020	156.10	52	-60.97	84.08	53
32	31	24	WAL	http://www.owgr.com/styles/img/flags/WAL.png	Jamie Donaldson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7084	2.9658	154.22	52	-74.79	50.33	54
33	32	30	USA	http://www.owgr.com/styles/img/flags/USA.png	Ryan Moore	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7489	2.9120	139.78	48	-64.56	50.20	48
34	33	37	THA	http://www.owgr.com/styles/img/flags/THA.png	Thongchai Jaidee	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5973	2.8707	149.28	52	-60.57	62.42	59
35	38	75	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Paul Casey	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7108	2.8489	148.14	52	-44.49	96.11	52
36	36	50	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Danny Willett	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12920	2.8219	146.74	52	-38.72	59.99	55
37	34	17	FRA	http://www.owgr.com/styles/img/flags/FRA.png	Victor Dubuisson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10198	2.8193	129.69	46	-73.95	18.58	46
38	35	22	USA	http://www.owgr.com/styles/img/flags/USA.png	Hunter Mahan	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7636	2.8171	146.49	52	-79.34	37.67	52
39	46	31	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Charl Schwartzel	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7398	2.8054	145.88	52	-78.67	66.70	60
40	39	28	USA	http://www.owgr.com/styles/img/flags/USA.png	Keegan Bradley	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13872	2.7934	145.25	52	-78.11	58.72	53
41	37	72	AUT	http://www.owgr.com/styles/img/flags/AUT.png	Bernd Wiesberger	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9531	2.7821	144.67	52	-50.41	96.12	57
42	41	43	USA	http://www.owgr.com/styles/img/flags/USA.png	Webb Simpson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11049	2.6911	134.55	50	-72.17	65.58	50
43	42	74	USA	http://www.owgr.com/styles/img/flags/USA.png	Charley Hoffman	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5768	2.6458	137.58	52	-43.24	83.83	52
44	43	55	ITA	http://www.owgr.com/styles/img/flags/ITA.png	Francesco Molinari	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7655	2.6363	137.09	52	-54.89	69.95	61
45	57	44	IRL	http://www.owgr.com/styles/img/flags/IRL.png	Shane Lowry	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13900	2.5930	134.84	52	-49.58	46.24	52
46	55	236	USA	http://www.owgr.com/styles/img/flags/USA.png	Kevin Kisner	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11328	2.5761	133.96	52	-15.38	109.40	58
47	45	64	IND	http://www.owgr.com/styles/img/flags/IND.png	Anirban Lahiri	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12669	2.5107	123.02	49	-38.00	67.58	49
48	44	15	NIR	http://www.owgr.com/styles/img/flags/NIR.png	Graeme McDowell	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7548	2.4790	126.43	51	-92.06	18.95	51
49	51	51	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Tommy Fleetwood	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12294	2.4469	127.24	52	-47.24	48.73	60
50	60	49	AUS	http://www.owgr.com/styles/img/flags/AUS.png	John Senden	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5207	2.4286	126.29	52	-50.27	46.68	57
51	47	40	ESP	http://www.owgr.com/styles/img/flags/ESP.png	Miguel A Jimenez	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3596	2.4149	125.58	52	-57.97	54.50	52
52	52	29	NED	http://www.owgr.com/styles/img/flags/NED.png	Joost Luiten	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10158	2.4065	125.14	52	-68.10	28.72	52
53	48	54	USA	http://www.owgr.com/styles/img/flags/USA.png	Brendon Todd	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12425	2.4030	124.96	52	-51.20	51.98	57
54	49	76	USA	http://www.owgr.com/styles/img/flags/USA.png	Matt Every	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10185	2.3952	124.55	52	-44.48	72.56	53
55	50	179	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Byeong Hun An	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14459	2.3914	124.35	52	-18.70	93.35	54
56	54	65	USA	http://www.owgr.com/styles/img/flags/USA.png	Ben Martin	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14007	2.3745	123.47	52	-43.50	60.25	56
57	53	46	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Marc Leishman	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7649	2.3489	115.10	49	-54.86	34.70	49
58	56	60	USA	http://www.owgr.com/styles/img/flags/USA.png	Russell Henley	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14578	2.3345	121.40	52	-49.27	53.58	54
59	58	150	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Andy Sullivan	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15326	2.3293	121.13	52	-25.93	87.60	55
60	59	35	SCO	http://www.owgr.com/styles/img/flags/SCO.png	Stephen Gallacher	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5647	2.2677	117.92	52	-64.49	29.16	57
61	61	81	RSA	http://www.owgr.com/styles/img/flags/RSA.png	George Coetzee	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10884	2.2460	116.79	52	-36.35	60.65	54
62	62	53	FRA	http://www.owgr.com/styles/img/flags/FRA.png	Alexander Levy	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14973	2.2456	116.77	52	-41.88	31.78	57
63	63	69	SCO	http://www.owgr.com/styles/img/flags/SCO.png	Marc Warren	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7567	2.2010	114.45	52	-44.98	55.69	57
64	64	89	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Steven Bowditch	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7053	2.1243	110.46	52	-31.82	59.70	63
65	66	85	USA	http://www.owgr.com/styles/img/flags/USA.png	Cameron Tringale	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14013	2.1116	109.80	52	-34.93	55.52	58
66	70	38	USA	http://www.owgr.com/styles/img/flags/USA.png	Jason Dufner	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7301	2.0731	93.29	45	-76.19	34.09	45
67	65	78	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Matt Jones	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8605	2.0660	107.43	52	-47.61	61.26	54
68	67	33	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Luke Donald	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4163	2.0136	104.71	52	-66.66	24.69	52
69	68	62	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Tim Clark	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3849	1.9906	79.62	40	-37.97	4.37	38
70	69	653	SWE	http://www.owgr.com/styles/img/flags/SWE.png	Alexander Noren	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10419	1.9740	78.96	40	-11.76	82.44	23
71	72	169	SWE	http://www.owgr.com/styles/img/flags/SWE.png	David Lingmerth	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14815	1.9633	102.09	52	-27.38	76.00	56
72	76	91	USA	http://www.owgr.com/styles/img/flags/USA.png	Robert Streb	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14852	1.9396	100.86	52	-27.73	45.98	53
73	71	77	USA	http://www.owgr.com/styles/img/flags/USA.png	Harris English	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14577	1.9393	100.84	52	-55.07	61.87	55
74	74	301	USA	http://www.owgr.com/styles/img/flags/USA.png	Daniel Berger	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=17606	1.9039	91.39	48	-11.31	78.36	48
75	73	100	SCO	http://www.owgr.com/styles/img/flags/SCO.png	Russell Knox	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13831	1.9023	98.92	52	-33.50	54.81	57
76	75	52	USA	http://www.owgr.com/styles/img/flags/USA.png	Kevin Streelman	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8480	1.8863	98.09	52	-60.20	31.01	54
77	77	92	SCO	http://www.owgr.com/styles/img/flags/SCO.png	Richie Ramsay	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11396	1.8548	85.32	46	-23.74	41.75	46
78	78	141	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Chris Wood	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12451	1.7956	84.39	47	-26.24	53.32	47
79	79	36	DEN	http://www.owgr.com/styles/img/flags/DEN.png	Thomas Bjorn	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5725	1.7632	89.92	51	-73.11	14.04	51
80	81	335	DEN	http://www.owgr.com/styles/img/flags/DEN.png	Soren Kjeldsen	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6149	1.7592	91.48	52	-14.63	77.69	55
81	80	61	GER	http://www.owgr.com/styles/img/flags/GER.png	Marcel Siem	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6950	1.7419	83.61	48	-38.31	6.08	48
82	82	114	USA	http://www.owgr.com/styles/img/flags/USA.png	George McNeill	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6419	1.7303	84.79	49	-27.45	44.41	49
83	83	115	USA	http://www.owgr.com/styles/img/flags/USA.png	Shawn Stefani	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14012	1.7052	80.15	47	-25.12	37.21	47
84	87	122	USA	http://www.owgr.com/styles/img/flags/USA.png	Justin Thomas	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14139	1.6973	84.87	50	-19.04	51.33	50
85	84	47	FIN	http://www.owgr.com/styles/img/flags/FIN.png	Mikko Ilonen	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6929	1.6871	86.04	51	-53.03	9.25	51
86	86	134	THA	http://www.owgr.com/styles/img/flags/THA.png	Kiradech Aphibarnrat	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12321	1.6729	86.99	52	-33.98	50.14	57
87	85	128	ARG	http://www.owgr.com/styles/img/flags/ARG.png	Emiliano Grillo	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12808	1.6727	86.98	52	-26.46	47.23	54
88	94	124	USA	http://www.owgr.com/styles/img/flags/USA.png	Morgan Hoffmann	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14082	1.6613	86.39	52	-27.65	46.36	56
89	167	190	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Cameron Smith	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15856	1.6477	65.91	40	-10.51	39.62	33
90	88	84	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Sangmoon Bae	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10081	1.6425	85.41	52	-37.41	31.83	59
91	89	86	USA	http://www.owgr.com/styles/img/flags/USA.png	Brian Harman	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8825	1.6330	84.92	52	-36.94	36.32	61
92	90	265	IRL	http://www.owgr.com/styles/img/flags/IRL.png	Padraig Harrington	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5716	1.6300	84.76	52	-17.68	65.10	57
92	92	57	CAN	http://www.owgr.com/styles/img/flags/CAN.png	Graham Delaet	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10252	1.6300	81.50	50	-65.00	26.73	50
94	91	68	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Ross Fisher	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9396	1.6183	84.15	52	-40.85	19.57	56
95	104	94	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Geoff Ogilvy	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5698	1.6144	77.49	48	-29.81	28.51	48
96	93	93	ESP	http://www.owgr.com/styles/img/flags/ESP.png	Rafael Cabrera Bello	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7457	1.5823	82.28	52	-34.20	35.68	57
97	97	151	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Eddie Pepperell	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15113	1.5624	75.00	48	-21.28	40.70	48
98	95	127	USA	http://www.owgr.com/styles/img/flags/USA.png	Nick Watney	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7955	1.5620	81.22	52	-38.91	53.01	55
99	98	152	USA	http://www.owgr.com/styles/img/flags/USA.png	Brendan Steele	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11019	1.5541	80.81	52	-28.99	50.98	52
100	96	56	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Koumei Oda	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7940	1.5537	80.79	52	-45.04	6.25	52
101	103	435	FRA	http://www.owgr.com/styles/img/flags/FRA.png	Gary Stal	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13262	1.5435	77.18	50	-13.77	71.71	50
102	99	83	ZIM	http://www.owgr.com/styles/img/flags/ZIM.png	Brendon de Jonge	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8767	1.5385	80.00	52	-41.46	34.05	69
103	102	63	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Ernie Els	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=874	1.5311	79.62	52	-59.97	23.63	63
104	105	67	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Hiroshi Iwata	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9099	1.5272	74.83	49	-27.14	6.90	49
105	101	363	USA	http://www.owgr.com/styles/img/flags/USA.png	James Hahn	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11374	1.5221	79.15	52	-15.11	67.48	53
106	100	41	USA	http://www.owgr.com/styles/img/flags/USA.png	Steve Stricker	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4818	1.5075	60.30	40	-60.78	11.43	24
107	107	137	USA	http://www.owgr.com/styles/img/flags/USA.png	Jason Bohn	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6462	1.4961	76.30	51	-27.90	39.75	51
108	106	131	ENG	http://www.owgr.com/styles/img/flags/ENG.png	David Howell	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5718	1.4748	76.69	52	-29.84	40.77	56
109	111	70	USA	http://www.owgr.com/styles/img/flags/USA.png	Kevin Stadler	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7602	1.4396	59.02	41	-44.82	-	41
110	109	120	USA	http://www.owgr.com/styles/img/flags/USA.png	Chesson Hadley	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14967	1.4350	74.62	52	-35.19	43.83	63
111	108	135	USA	http://www.owgr.com/styles/img/flags/USA.png	Charles Howell-III	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6892	1.4344	74.59	52	-33.23	40.61	60
112	110	184	USA	http://www.owgr.com/styles/img/flags/USA.png	Scott Piercy	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7899	1.4265	58.49	41	-25.83	43.72	41
113	115	123	USA	http://www.owgr.com/styles/img/flags/USA.png	Jerry Kelly	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5151	1.4198	62.47	44	-28.60	26.87	44
114	112	118	USA	http://www.owgr.com/styles/img/flags/USA.png	Boo Weekley	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7403	1.4098	73.31	52	-39.84	42.29	55
115	113	59	SWE	http://www.owgr.com/styles/img/flags/SWE.png	Jonas Blixt	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8182	1.4001	72.81	52	-57.93	15.16	59
116	114	207	USA	http://www.owgr.com/styles/img/flags/USA.png	Pat Perez	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6762	1.3951	69.75	50	-23.71	49.66	50
117	119	73	ARG	http://www.owgr.com/styles/img/flags/ARG.png	Angel Cabrera	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5717	1.3944	68.33	49	-44.99	19.79	49
118	116	71	ESP	http://www.owgr.com/styles/img/flags/ESP.png	Pablo Larrazabal	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9133	1.3809	71.81	52	-44.46	14.43	53
119	136	146	USA	http://www.owgr.com/styles/img/flags/USA.png	Tony Finau	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11676	1.3789	71.70	52	-14.07	38.63	52
120	118	95	USA	http://www.owgr.com/styles/img/flags/USA.png	Erik Compton	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6556	1.3712	71.30	52	-30.26	22.08	55
121	117	80	DEN	http://www.owgr.com/styles/img/flags/DEN.png	Thorbjorn Olesen	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13412	1.3708	71.28	52	-36.58	11.41	54
122	120	97	FRA	http://www.owgr.com/styles/img/flags/FRA.png	Romain Wattel	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13165	1.3628	70.87	52	-30.02	22.22	53
123	122	90	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Tomohiro Kondo	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6625	1.3563	62.39	46	-24.50	10.05	46
124	132	153	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Thomas Aiken	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7679	1.3455	69.97	52	-27.14	38.81	56
125	124	96	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Scott Hend	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=1888	1.3366	68.17	51	-28.37	25.22	51
126	121	105	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Seungyul Noh	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11117	1.3298	69.15	52	-31.21	23.34	56
127	123	132	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Tyrrell Hatton	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14796	1.3207	68.68	52	-22.21	29.12	52
128	125	192	CHN	http://www.owgr.com/styles/img/flags/CHN.png	Li Haotong	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15310	1.3147	52.59	40	-10.03	25.93	40
129	126	142	MEX	http://www.owgr.com/styles/img/flags/MEX.png	Carlos Ortiz	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14735	1.2993	51.97	40	-17.08	20.88	40
130	134	139	USA	http://www.owgr.com/styles/img/flags/USA.png	Daniel Summerhays	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12424	1.2959	67.39	52	-32.06	36.42	56
131	127	181	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Rory Sabbatini	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6283	1.2934	67.25	52	-26.95	44.91	55
132	128	156	USA	http://www.owgr.com/styles/img/flags/USA.png	Jason Kokrak	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12337	1.2859	61.72	48	-27.79	36.39	48
133	129	79	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Shingo Katayama	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3770	1.2780	51.12	40	-31.51	3.11	40
134	177	136	THA	http://www.owgr.com/styles/img/flags/THA.png	Prayad Marksaeng	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3990	1.2685	65.96	52	-25.89	29.55	54
135	133	107	SWE	http://www.owgr.com/styles/img/flags/SWE.png	Freddie Jacobson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3846	1.2542	57.69	46	-30.47	19.35	46
136	131	245	ARG	http://www.owgr.com/styles/img/flags/ARG.png	Fabian Gomez	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8571	1.2540	65.21	52	-13.81	39.53	54
137	135	162	ESP	http://www.owgr.com/styles/img/flags/ESP.png	Alejandro Canizares	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11509	1.2495	57.48	46	-26.62	37.28	46
138	130	129	THA	http://www.owgr.com/styles/img/flags/THA.png	Prom Meesawat	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7109	1.2463	56.08	45	-19.09	18.08	45
139	137	88	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Hideto Tanihara	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7046	1.2322	56.68	46	-31.09	8.77	46
